corpus,problem,cap,gen,mean_K,mean_nodes,K_max
evogp,feynman/I.12.1,64,2,1.576,7.138,11
evogp,feynman/I.12.1,64,4,2.023,10.268,10
evogp,feynman/I.12.1,64,8,2.843,18.804,14
evogp,feynman/I.12.1,64,16,4.935,35.612,17
evogp,feynman/I.12.1,64,32,5.067,42.07,16
evogp,feynman/I.12.1,64,64,4.982,43.842,17
evogp,feynman/I.12.1,64,100,7.776,47.803,19
operon,feynman/I.18.12,64,0,12.423,45.431,28
operon,feynman/I.18.12,64,1,10.799,39.125,29
operon,feynman/I.18.12,64,2,9.573,34.181,29
operon,feynman/I.18.12,64,4,8.613,30.256,28
operon,feynman/I.18.12,64,8,12.345,44.396,28
operon,feynman/I.18.12,64,16,16.913,61.944,28
operon,feynman/I.18.12,64,32,17.777,63.54,29
operon,feynman/I.18.12,64,64,21.05,81.234,30
operon,feynman/I.18.12,64,100,22.0,85.084,30
evogp,feynman/I.18.12,64,0,1.715,6.955,7
evogp,feynman/I.18.12,64,1,1.565,5.693,10
evogp,feynman/I.18.12,64,2,1.762,6.179,8
evogp,feynman/I.18.12,64,4,2.456,10.038,11
evogp,feynman/I.18.12,64,8,3.775,20.152,16
evogp,feynman/I.18.12,64,16,5.79,37.212,17
evogp,feynman/I.18.12,64,32,5.431,42.739,14
evogp,feynman/I.18.12,64,64,8.247,56.752,13
evogp,feynman/I.18.12,64,100,6.838,58.228,12
operon,feynman/I.27.6,64,0,12.423,45.431,28
operon,feynman/I.27.6,64,1,9.894,35.236,29
operon,feynman/I.27.6,64,2,8.98,30.985,28
operon,feynman/I.27.6,64,4,12.015,41.324,29
operon,feynman/I.27.6,64,8,18.628,62.701,31
operon,feynman/I.27.6,64,16,22.201,73.934,31
operon,feynman/I.27.6,64,32,22.173,78.305,31
operon,feynman/I.27.6,64,64,22.411,83.023,30
operon,feynman/I.27.6,64,100,23.184,88.339,30
evogp,feynman/I.27.6,64,0,1.715,6.955,7
evogp,feynman/I.27.6,64,1,1.73,6.542,11
evogp,feynman/I.27.6,64,2,1.867,6.772,10
evogp,feynman/I.27.6,64,4,2.03,7.923,10
evogp,feynman/I.27.6,64,8,3.518,16.495,17
evogp,feynman/I.27.6,64,16,6.617,37.222,17
evogp,feynman/I.27.6,64,32,6.224,39.242,16
evogp,feynman/I.27.6,64,64,6.432,40.767,18
evogp,feynman/I.27.6,64,100,4.921,40.019,14
operon,feynman/I.6.2,64,0,12.423,45.431,28
operon,feynman/I.6.2,64,1,10.553,38.065,28
operon,feynman/I.6.2,64,2,8.888,31.079,28
operon,feynman/I.6.2,64,4,8.805,29.985,28
operon,feynman/I.6.2,64,8,14.645,51.718,29
operon,feynman/I.6.2,64,16,19.746,72.497,29
operon,feynman/I.6.2,64,32,20.832,76.998,30
operon,feynman/I.6.2,64,64,19.211,79.826,27
operon,feynman/I.6.2,64,100,18.72,80.735,27
evogp,feynman/I.6.2,64,0,1.715,6.955,7
evogp,feynman/I.6.2,64,1,1.751,6.891,10
evogp,feynman/I.6.2,64,2,2.288,8.169,10
evogp,feynman/I.6.2,64,4,3.151,11.058,15
evogp,feynman/I.6.2,64,8,5.206,19.297,22
evogp,feynman/I.6.2,64,16,10.836,39.207,25
evogp,feynman/I.6.2,64,32,11.562,51.081,20
evogp,feynman/I.6.2,64,64,10.093,52.546,17
evogp,feynman/I.6.2,64,100,10.133,55.314,15
operon,feynman/I.12.2,64,0,12.423,45.431,28
operon,feynman/I.12.2,64,1,10.011,35.756,28
operon,feynman/I.12.2,64,2,9.479,32.982,29
operon,feynman/I.12.2,64,4,10.57,36.336,29
operon,feynman/I.12.2,64,8,16.871,58.2,30
operon,feynman/I.12.2,64,16,18.365,62.624,32
operon,feynman/I.12.2,64,32,21.936,73.433,32
operon,feynman/I.12.2,64,64,21.282,70.277,32
operon,feynman/I.12.2,64,100,18.386,67.719,32
evogp,feynman/I.12.2,64,0,1.715,6.955,7
evogp,feynman/I.12.2,64,1,1.348,5.129,9
